12-01 22:18 root         INFO     Loaded unit student models

12-01 22:18 root         INFO     Mystery function generated

12-01 22:18 matplotlib.pyplot DEBUG    Loaded backend agg version unknown.

12-01 22:18 matplotlib.font_manager DEBUG    findfont: Matching sans\-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=10.0.

12-01 22:18 matplotlib.font_manager DEBUG    findfont: score(FontEntry(fname='/home/brentonc/.local/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans-BoldOblique.ttf', name='DejaVu Sans', style='oblique', variant='normal', weight=700, stretch='normal', size='scalable')) = 1.335

12-01 22:18 matplotlib.font_manager DEBUG    findfont: score(FontEntry(fname='/home/brentonc/.local/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/STIXNonUniIta.ttf', name='STIXNonUnicode', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05

12-01 22:18 matplotlib.font_manager DEBUG    findfont: score(FontEntry(fname='/home/brentonc/.local/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizFiveSymReg.ttf', name='STIXSizeFiveSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05

12-01 22:18 matplotlib.font_manager DEBUG    findfont: score(FontEntry(fname='/home/brentonc/.local/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizThreeSymReg.ttf', name='STIXSizeThreeSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05

12-01 22:18 matplotlib.font_manager DEBUG    findfont: score(FontEntry(fname='/home/brentonc/.local/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/cmtt10.ttf', name='cmtt10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05

12-01 22:18 matplotlib.font_manager DEBUG    findfont: score(FontEntry(fname='/home/brentonc/.local/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizTwoSymBol.ttf', name='STIXSizeTwoSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335

12-01 22:18 matplotlib.font_manager DEBUG    findfont: score(FontEntry(fname='/home/brentonc/.local/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/cmss10.ttf', name='cmss10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05

12-01 22:18 matplotlib.font_manager DEBUG    findfont: score(FontEntry(fname='/home/brentonc/.local/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSansMono-BoldOblique.ttf', name='DejaVu Sans Mono', style='oblique', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335

12-01 22:18 matplotlib.font_manager DEBUG    findfont: score(FontEntry(fname='/home/brentonc/.local/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSansDisplay.ttf', name='DejaVu Sans Display', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05

12-01 22:18 matplotlib.font_manager DEBUG    findfont: score(FontEntry(fname='/home/brentonc/.local/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSerif.ttf', name='DejaVu Serif', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05

12-01 22:18 matplotlib.font_manager DEBUG    findfont: score(FontEntry(fname='/home/brentonc/.local/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf', name='DejaVu Sans', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 0.05

12-01 22:18 matplotlib.font_manager DEBUG    findfont: score(FontEntry(fname='/home/brentonc/.local/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSansMono.ttf', name='DejaVu Sans Mono', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05

12-01 22:18 matplotlib.font_manager DEBUG    findfont: score(FontEntry(fname='/home/brentonc/.local/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/cmr10.ttf', name='cmr10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05

12-01 22:18 matplotlib.font_manager DEBUG    findfont: score(FontEntry(fname='/home/brentonc/.local/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/STIXGeneralBolIta.ttf', name='STIXGeneral', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335

12-01 22:18 matplotlib.font_manager DEBUG    findfont: score(FontEntry(fname='/home/brentonc/.local/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSerif-Bold.ttf', name='DejaVu Serif', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335

12-01 22:18 matplotlib.font_manager DEBUG    findfont: score(FontEntry(fname='/home/brentonc/.local/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/cmsy10.ttf', name='cmsy10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05

12-01 22:18 matplotlib.font_manager DEBUG    findfont: score(FontEntry(fname='/home/brentonc/.local/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizThreeSymBol.ttf', name='STIXSizeThreeSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335

12-01 22:18 matplotlib.font_manager DEBUG    findfont: score(FontEntry(fname='/home/brentonc/.local/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizOneSymBol.ttf', name='STIXSizeOneSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335

12-01 22:18 matplotlib.font_manager DEBUG    findfont: score(FontEntry(fname='/home/brentonc/.local/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/STIXGeneral.ttf', name='STIXGeneral', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05

12-01 22:18 matplotlib.font_manager DEBUG    findfont: score(FontEntry(fname='/home/brentonc/.local/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/cmb10.ttf', name='cmb10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05

12-01 22:18 matplotlib.font_manager DEBUG    findfont: score(FontEntry(fname='/home/brentonc/.local/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/cmex10.ttf', name='cmex10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05

